	asker	answer
1	571	22656
2	571	10981181
3	571	10116812
4	571	7760271
5	571	10943076
6	571	11652382
7	571	1248177
8	571	11312923
9	571	9594872
10	571	1213006
11	571	872
12	571	593614
13	571	10714818
14	571	9131762
15	571	1763
16	571	5670752
17	571	8207463
18	571	480700
19	571	646
20	571	2806548
21	571	3275405
22	571	1324573
23	571	9106094
24	571	193
25	571	9205802
26	571	442351
27	571	3545103
28	571	16940
29	571	2459039
30	571	385638
31	571	22710
32	571	373
33	571	3556867
34	571	2771704
35	571	5223540
36	571	440641
37	571	3296
38	571	3619
39	571	1250250
40	571	4598557
41	571	1898688
42	571	1997103
43	571	5644664
44	571	1696881
45	571	5542
46	571	4298321
47	571	993672
48	571	1336654
49	571	3674931
50	571	379371
51	571	1537055
52	571	2674680
53	571	1139127
54	571	374420
55	571	1106734
56	571	1583
57	571	15454
58	571	13937
59	571	18941
60	571	18658
61	571	21807
62	571	576533
63	571	558331
64	571	856132
65	571	8930
66	12597	2830315
67	12597	606847
68	12597	98029
69	12597	11830
70	12597	4549031
71	12597	200985
72	12597	5863303
73	12597	1747521
74	12597	4576125
75	12597	661933
76	12597	3618581
77	12597	19308
78	12597	632986
79	12597	1185191
80	12597	276093
81	12597	376495
82	12597	510266
83	12597	1125913
84	12597	1173800
85	12597	4218542
86	12597	437979
87	12597	2043536
88	12597	598
89	12597	81112
90	12597	14954
91	12597	23805
92	22656	117069
93	22656	5274
94	22656	11410
95	22656	661933
96	22656	359349
97	22656	2610857
98	22656	3804209
99	22656	200449
100	22656	5862
101	22656	335339
102	22656	1990838
103	22656	11432
104	22656	13552
105	22656	23354
106	22656	1143
107	22656	52551
108	22656	21966
109	22656	31158
110	22656	112407
111	22656	14768
112	22656	138304
113	22656	468666
114	22656	589340
115	22656	61061
116	22656	571536
117	22656	174574
118	22656	13995
119	22656	367665
120	22656	19688
121	22656	210916
122	22656	185430
123	22656	208917
124	22656	218858
125	22656	87698
126	22656	1515181
127	22656	437435
128	22656	1793417
129	22656	5557
130	22656	26135
131	22656	674700
132	22656	105929
133	3742	166251
134	3742	5302
135	3742	11652382
136	3742	564508
137	3742	274502
138	3742	10614791
139	3742	711061
140	3742	3873799
141	3742	2828480
142	3742	1395182
143	3742	1444319
144	3742	1111732
145	3742	2016932
146	3742	2233
147	3742	106159
148	3742	6116637
149	3742	10778
150	3742	4099159
151	3742	223103
152	3742	1842492
153	3742	2094687
154	3742	372698
155	3742	5198209
156	3742	4454567
157	3742	6082960
158	3742	1372621
159	3742	3073272
160	3742	204647
161	3742	2792931
162	3742	4711853
163	3742	5486
164	3742	107409
165	3742	1163867
166	3742	1807643
167	3742	2338477
168	3742	1254684
169	3742	3528734
170	3742	79448
171	3742	693312
172	3742	363751
173	3742	1490
174	3742	777733
175	3742	263832
176	3742	14266
177	45603	541686
178	45603	3043
179	45603	1537055
180	45603	1394393
181	45603	1271898
182	45603	369792
183	45603	44765
184	45603	1739000
185	45603	1331672
186	45603	579817
187	45603	1111579
188	45603	1612190
189	45603	819161
190	45603	2721611
191	45603	1659719
192	45603	36007
193	45603	796085
194	45603	192914
195	45603	1814117
196	45603	4574
197	45603	25338
198	45603	3970128
199	45603	484621
200	45603	51650
201	45603	659190
202	45603	3437043
203	45603	729738
204	45603	2226988
205	45603	239916
206	45603	2002792
207	45603	11432
208	45603	1120193
209	45603	17034
210	45603	33051
211	45603	52408
212	45603	54501
213	91	221800
214	91	661933
215	91	219933
216	91	2362847
217	91	5077953
218	91	861926
219	91	4226080
220	91	4987709
221	91	4826364
222	91	293099
223	91	618649
224	91	507
225	91	2802543
226	91	2528063
227	91	4394101
228	91	1718702
229	91	3256506
230	91	2924454
231	91	1324810
232	91	636740
233	91	179310
234	91	1423922
235	91	1031591
236	91	1203288
237	91	19676
238	91	1965
239	91	13552
240	91	23659
241	91	5445
242	91	1859906
243	91	1125318
244	91	4808
245	91	239266
246	91	120163
247	91	1360388
248	91	13145
249	91	350742
250	91	111554
251	4490	1336654
252	4490	1990838
